game_id,stint_id,home_lineup,away_lineup,n_pos,home_points,away_points,minutes,margin
0022300062,30,101108_201939_202691_1626172_1630541,201142_201569_1626164_1628960_1629006,2,0,0,0.1700000000000017,0
0022300063,1,202330_1626179_1629023_1630163_1631109,203991_1627749_1629027_1629631_1630180,30,17,12,5.67,16.666666666666668
0022300063,2,202330_1626179_1629023_1631109_1641706,203991_203992_1627749_1629631_1630552,3,0,2,0.8600000000000003,-66.66666666666667
0022300063,3,202330_1626179_1630550_1631109_1641706,203991_203992_1627749_1629631_1630552,2,0,2,0.5499999999999998,-100
0022300063,4,202330_1626179_1630550_1631109_1641706,203991_203992_1627749_1630552_1631100,3,0,2,0.7200000000000006,-66.66666666666667
0022300063,5,1626179_1630177_1630208_1630550_1641706,203992_1627749_1630168_1630552_1631100,5,3,4,1.0199999999999996,-20
0022300063,6,1630163_1630177_1630208_1630550_1641706,203992_1629027_1630168_1630552_1631100,3,1,0,0.6000000000000014,33.333333333333336
0022300063,7,1629023_1630163_1630177_1630208_1641706,203992_1629027_1630168_1630552_1631100,32,12,20,6.550000000000001,-25
0022300063,8,202330_1626179_1629023_1630208_1630550,203992_1629027_1629631_1630168_1630552,2,0,0,0.029999999999997584,0
0022300063,9,202330_1626179_1629023_1630208_1630550,203992_1627749_1629631_1630168_1630552,3,2,3,1.4000000000000021,-33.333333333333336
0022300063,10,202330_1626179_1629023_1630550_1631109,203991_203992_1627749_1629631_1630552,6,3,2,1.0500000000000007,16.666666666666668
0022300063,11,202330_1626179_1629023_1630550_1631109,203991_1627749_1629027_1629631_1630180,3,3,2,1.0499999999999972,33.333333333333336
0022300063,12,202330_1626179_1630163_1630550_1631109,203991_1627749_1629027_1629631_1630180,8,5,2,1.0299999999999976,37.5
0022300063,13,202330_1626179_1630177_1630550_1631109,203991_1627749_1629027_1629631_1630180,5,5,1,1.6500000000000021,80
0022300063,14,202330_1626179_1630550_1631109_1641733,203991_1627749_1629027_1629631_1630180,27,16,13,6.75,11.11111111111111
0022300063,15,202330_1626179_1629023_1631109_1641706,203991_1627749_1629027_1630180_1630552,1,0,0,0,0
0022300063,16,202330_1626179_1630550_1631109_1641706,203991_203992_1627749_1630180_1630552,5,2,2,1.0899999999999999,0
0022300063,17,202330_1626179_1630550_1631109_1641706,203992_1627749_1630168_1630552_1631100,8,0,0,1.0800000000000018,0
0022300063,18,1630163_1630177_1630208_1630550_1641706,203992_1629027_1630168_1630552_1631100,8,7,4,2.280000000000001,37.5
0022300063,19,1629023_1630163_1630177_1630208_1641706,203992_1629027_1630168_1630552_1631100,13,6,8,2.539999999999999,-15.384615384615385
0022300063,20,1630163_1630177_1630208_1630550_1641706,1629027_1629631_1630168_1630180_1630552,6,5,7,1.2600000000000051,-33.333333333333336
0022300063,21,202330_1626179_1630208_1630550_1641706,1629027_1629631_1630168_1630180_1630552,5,1,2,1.1999999999999957,-20
0022300063,22,202330_1626179_1630208_1630550_1641706,1627749_1629631_1630168_1630180_1630552,2,0,3,0.37000000000000455,-150
0022300063,23,202330_1626179_1630550_1631109_1641706,203991_203992_1627749_1629631_1630180,6,5,4,1.7299999999999969,16.666666666666668
0022300063,24,202330_1626179_1629023_1631109_1641706,203991_203992_1627749_1629631_1630552,5,6,4,1.3200000000000003,40
0022300063,25,202330_1626179_1629023_1630163_1631109,203991_1627749_1629027_1629631_1630552,14,10,6,3.450000000000003,28.571428571428573
0022300063,26,202330_1626179_1629023_1630163_1631109,203991_1627749_1629027_1629631_1630180,3,2,5,0.5,-100
0022300063,28,202330_1626179_1629023_1630163_1641706,203991_1627749_1629027_1630180_1630552,1,1,0,0,100
0022300063,30,202330_1626179_1629023_1630163_1631109,203991_203992_1627749_1629027_1630552,4,2,0,0.21999999999999886,50
0022300073,1,1628380_1629640_1630170_1631110_1641705,202681_1627884_1628467_1629029_1629684,21,18,9,4.32,42.857142857142854
0022300073,2,1628380_1629640_1630170_1631110_1641705,203501_1627884_1628467_1629029_1629684,1,1,3,0.5300000000000002,-200
0022300073,3,1626224_1628380_1629640_1630170_1631110,203501_1627884_1628467_1629029_1629684,6,2,5,0.9800000000000004,-50
0022300073,4,1626224_1629640_1629646_1630170_1631110,203501_1629029_1629684_1630182_1641726,5,5,3,1.12,40
0022300073,5,1626224_1629640_1629646_1630170_1630200,202681_203501_1629684_1630182_1641726,1,2,0,0,200
0022300073,6,1626224_1629646_1630170_1630200_1631103,202681_203501_1629684_1630182_1641726,3,0,2,0.35999999999999943,-66.66666666666667
0022300073,7,1626224_1629646_1630170_1630200_1631103,202681_203501_203957_1630182_1641726,7,5,4,1.4499999999999993,14.285714285714286
0022300073,8,1626224_1629646_1630200_1631103_1641705,202681_203501_203957_1630182_1641726,7,5,8,1.6999999999999993,-42.857142857142854
0022300073,9,1628380_1629640_1630200_1631103_1631110,203501_1628467_1629029_1630182_1641726,16,4,10,2.99,-37.5
0022300073,10,203926_1628380_1629640_1631103_1631110,203957_1629029_1629684_1630182_1641726,5,3,0,0.5199999999999996,60
0022300073,11,203926_1628380_1631103_1631110_1641705,203957_1629029_1629684_1630182_1641726,3,0,3,0.9800000000000004,-100
0022300073,12,203926_1629646_1631103_1631110_1641705,202681_1629029_1629684_1630182_1641726,7,2,5,1.8999999999999986,-42.857142857142854
0022300073,13,1629646_1630170_1630200_1631103_1641705,202681_203501_1628467_1629684_1630182,4,0,0,0.6400000000000006,0
0022300073,14,1628380_1630170_1630200_1631103_1641705,202681_203501_1628467_1629684_1630182,9,7,4,2.030000000000001,33.333333333333336
0022300073,15,1626224_1628380_1630170_1630200_1631103,202681_203501_1628467_1629029_1629684,2,2,0,0.1999999999999993,100
0022300073,16,1626224_1628380_1629640_1630170_1630200,202681_203501_1628467_1629029_1629684,7,7,2,1.7800000000000011,71.42857142857143
0022300073,17,1626224_1628380_1629640_1630170_1630200,202681_203501_1629029_1629684_1641726,24,4,11,4.16,-29.166666666666668
0022300073,18,1626224_1628380_1629640_1630170_1631110,202681_1627884_1629029_1629684_1641726,8,4,6,1.6999999999999993,-25
0022300073,19,1626224_1628380_1630170_1630200_1631110,203501_1627884_1629029_1629684_1641726,1,0,0,0.2700000000000031,0
0022300073,20,1626224_1628380_1630170_1630200_1631110,203501_1629029_1629684_1630182_1641726,3,0,3,0.25,-100
0022300073,21,1626224_1628380_1630170_1630200_1631103,203501_1629029_1629684_1630182_1641726,5,2,0,0.75,40
0022300073,22,1626224_1629646_1630170_1630200_1631103,203501_1629029_1629684_1630182_1641726,6,2,5,1.1699999999999982,-50
0022300073,23,1626224_1629646_1630170_1630200_1631103,203501_1628467_1629029_1630182_1641726,2,2,0,0.22999999999999687,100
0022300073,24,1626224_1629640_1629646_1630200_1631103,202681_203501_203552_1628467_1630182,17,11,13,3.9099999999999966,-11.764705882352942
0022300073,25,203926_1628380_1629640_1630170_1631110,202681_1628467_1629029_1630182_1641726,6,2,4,1.9200000000000017,-33.333333333333336
0022300073,26,203926_1628380_1629640_1630170_1631110,202681_1629029_1629684_1630182_1641726,7,6,0,1.269999999999996,85.71428571428571
0022300073,27,203926_1626224_1628380_1630170_1631110,202681_203501_1629684_1630182_1641726,6,2,8,1.1799999999999997,-100
0022300073,28,1626224_1630170_1630200_1631110_1641705,202681_203501_1629684_1630182_1641726,7,8,4,2.020000000000003,57.142857142857146
0022300073,29,1626224_1629640_1630170_1630200_1641705,202681_203501_1628467_1629029_1629684,6,2,3,1.009999999999998,-16.666666666666668
0022300073,30,1628380_1629640_1630170_1630200_1641705,203501_1628467_1629029_1629684_1630182,3,2,0,0.8200000000000003,66.66666666666667
0022300073,31,1628380_1629640_1630170_1630200_1641705,202681_1628467_1629029_1629684_1630182,4,2,0,0.7800000000000011,50
0022300073,32,1628380_1629640_1630170_1630200_1641705,202681_1629029_1629684_1630182_1641726,3,2,1,0.1700000000000017,33.333333333333336
0022300073,33,1628380_1629640_1630170_1631110_1641705,202681_1629029_1629684_1630182_1641726,7,0,5,1.8500000000000014,-71.42857142857143
0022300071,1,203935_1628991_1630214_1630217_1630533,202685_203468_1627742_1629627_1630529,24,15,14,6,4.166666666666667
0022300071,2,203935_1630214_1630217_1630533_1631223,1627742_1629627_1630184_1630529_1630700,1,2,0,0.33000000000000007,200
0022300071,3,203935_1628379_1630214_1630217_1631223,1626204_1627742_1630184_1630529_1630700,7,3,4,1.5999999999999996,-14.285714285714286
0022300071,4,201565_1628379_1630214_1631222_1631223,1626204_1627742_1630184_1630529_1630700,9,3,4,1.7699999999999996,-11.11111111111111
0022300071,5,201565_1628379_1628991_1631222_1631223,203468_1626204_1629627_1630184_1630700,10,3,3,1.83,0
0022300071,6,201565_1628379_1628991_1630217_1631223,203468_1626204_1629627_1630184_1630700,20,5,13,4.549999999999999,-40
0022300071,7,201565_1628991_1630217_1630533_1631222,202685_203468_1630346_1630529_1641722,1,0,0,0.33000000000000185,0
0022300071,8,203935_1628991_1630217_1630533_1631222,202685_203468_1627742_1630346_1630529,2,2,3,0.2699999999999996,-50
0022300071,9,203935_1630214_1630217_1630533_1631222,202685_203468_1627742_1630346_1630529,1,0,0,0.17999999999999972,0
0022300071,10,203935_1630214_1630217_1630533_1631222,202685_1627742_1629627_1630346_1630529,11,2,8,2.1499999999999986,-54.54545454545455
0022300071,11,203935_1630214_1630217_1630533_1631222,202685_203468_1627742_1629627_1630529,6,3,3,1.1700000000000017,0
0022300071,12,203935_1628991_1630214_1630217_1630533,203468_1626204_1627742_1629627_1630529,6,7,0,1.6999999999999993,116.66666666666667
0022300071,13,203935_1628379_1628991_1630214_1630217,203468_1626204_1627742_1629627_1630529,8,0,5,1.6500000000000021,-62.5
0022300071,14,201565_1628379_1628991_1630214_1630217,203468_1626204_1629627_1630346_1630529,28,9,11,6.030000000000001,-7.142857142857143
0022300071,15,203935_1628379_1630214_1630217_1631223,1626204_1627742_1630184_1630529_1630700,9,6,5,2.799999999999997,11.11111111111111
0022300071,16,201565_1628991_1630217_1631222_1631223,1626204_1627742_1629627_1630184_1630700,2,0,2,0.2600000000000051,-100
0022300071,17,201565_1628991_1630217_1631222_1631223,203468_1626204_1627742_1629627_1630700,6,6,3,1.0999999999999943,50
0022300071,18,201565_1628991_1630217_1631222_1631223,203468_1626204_1627742_1629627_1630346,6,2,2,1.3999999999999986,0
0022300071,19,201565_1628991_1630217_1631222_1631223,203468_1627742_1629627_1630346_1641722,17,11,17,3.730000000000004,-35.294117647058826
0022300071,20,203935_1628991_1630214_1630217_1630533,202685_203468_1630346_1630529_1641722,2,0,0,0.5200000000000031,0
0022300071,21,203935_1630214_1630217_1630533_1631223,202685_203468_1630346_1630529_1630700,3,3,2,0.5499999999999972,33.333333333333336
0022300071,22,203935_1630214_1630217_1630533_1631223,203468_1627742_1629627_1630529_1630700,3,2,0,0.6300000000000026,66.66666666666667
0022300071,23,203935_1630214_1630217_1630533_1631223,1627742_1629627_1630184_1630529_1630700,5,2,2,1.1000000000000014,0
0022300071,24,203935_1628991_1630214_1630217_1631223,1627742_1629627_1630184_1630529_1630700,2,2,1,0.6499999999999986,50
0022300071,25,203935_1628991_1630214_1630217_1631223,202685_203468_1627742_1629627_1630529,16,10,7,3.4299999999999997,18.75
0022300071,26,203935_1628991_1630214_1630217_1631223,203468_1627742_1629627_1630529_1630700,6,4,0,1.0499999999999972,66.66666666666667
0022300070,1,201942_202696_203897_1629632_1630172,1628983_1629652_1630581_1631096_1631114,25,19,17,5.83,8
0022300070,2,201942_202696_1627936_1628975_1630172,1628983_1629652_1630581_1631096_1631114,9,2,6,1.3200000000000003,-44.44444444444444
0022300070,3,201942_202696_1627936_1628470_1628975,1628983_1629652_1630581_1630598_1631172,5,6,8,1.58,-40
0022300070,4,201942_202696_1627936_1628470_1628975,1628983_1629652_1630198_1630846_1631172,4,0,0,0.7799999999999994,0
0022300070,5,203083_203897_1627936_1628470_1628975,1628983_1630198_1630598_1631172_1641717,5,5,2,1.0899999999999999,60
