game_id,stint_id,home_lineup,away_lineup,n_pos,home_points,away_points,minutes,margin
0022100001,1,201572_201950_203114_203507_1628960,201142_201933_201935_203925_1629651,13,10,6,3.92,30.76923076923077
0022100001,2,201950_203114_203507_1626192_1628960,201142_201933_201935_203925_1629651,4,5,2,0.8499999999999996,75
0022100001,3,201950_203114_203507_1626192_1628960,201142_201933_201935_201988_1629651,11,8,4,1.96,36.36363636363637
0022100001,4,201588_201950_203114_203507_1626192,200746_200794_201142_201988_1628975,4,2,0,0.8199999999999994,50
0022100001,5,201588_201950_203114_203648_1626192,200746_200794_201142_201988_1628975,1,0,0,0.25,0
0022100001,6,201572_201588_201950_203648_1626192,200746_200794_201142_201988_1628975,4,6,3,1.08,75
0022100001,7,201572_201588_203648_1626192_1629670,200746_200794_201935_201988_1628975,2,2,2,0.40000000000000036,0
0022100001,8,201572_201588_203648_1626192_1629670,200746_200794_201935_201988_203925,19,6,14,4.09,-42.10526315789474
0022100001,9,201950_203507_1628960_1629670_1630572,201935_201949_203925_1628975_1629651,15,11,6,3.1500000000000004,33.333333333333336
0022100001,11,201572_201950_203114_203507_1628960,200746_201142_201935_203925_1628975,5,5,0,1.4499999999999993,100
0022100001,12,201572_201588_201950_203114_1626192,200746_201142_201988_203925_1628975,3,2,3,0.4700000000000024,-33.333333333333336
0022100001,13,201572_201588_201950_203114_1626192,200746_201142_201933_201988_203925,8,4,8,1.9800000000000004,-50
0022100001,14,201572_201588_203114_1626192_1629670,200746_201142_201933_201988_203925,3,0,2,0.6899999999999977,-66.66666666666667
0022100001,15,201588_203114_203507_1626192_1629670,200746_201142_201933_201988_203925,4,0,3,0.8100000000000023,-75
0022100001,16,201588_203114_203507_1626192_1629670,201142_201933_201935_201988_1629651,34,18,15,5.919999999999998,8.823529411764707
0022100001,17,201572_203114_203507_1626192_1628960,200746_201142_201933_201935_203925,3,2,2,0.9299999999999997,0
0022100001,18,203114_203507_1626192_1628960_1629670,200746_201142_201933_201988_203925,6,3,3,1.4200000000000017,0
